Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
175.207.12.40-192.168.0.53-80-56861-6,192.168.0.53,56861,175.207.12.40,80,6,20/07/2021 05:24:08,1527259,6,9,4323.0,934.0,1179.0,0.0,720.5,560.3983404686348,274.0,0.0,103.77777777777777,128.28657156711472,3442.114271384225,9.821516848157385,109089.92857142858,187300.24309831212,547565.0,596.0,1517209.0,303441.8,217940.97934922655,547565.0,99677.0,1522419.0,190302.375,253236.70346870422,599741.0,596.0,1,0,0,0,120,180,3.9286067392629542,5.892910108894432,0.0,1179.0,394.06249999999994,484.9248008712279,235152.06250000003,0,1,0,0,1,0,0,0,1.0,420.3333333333333,720.5,103.77777777777777,0,0,0,0,0,0,6,4323,9,934,511,32038,3,20,0,0,0,0,0,0,0,0,No Label
175.207.12.40-192.168.0.53-80-56861-6,192.168.0.53,56861,175.207.12.40,80,6,20/07/2021 05:24:09,274,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7299.270072992701,274.0,0.0,274.0,274.0,274.0,274.0,0.0,274.0,274.0,0,0,0,0,0,0,0,0,0,40,0,7299.270072992701,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,507,-1,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.53-117.18.232.200-50350-443-6,117.18.232.200,443,192.168.0.53,50350,6,20/07/2021 05:24:11,140,3,1,95.0,0.0,64.0,0.0,31.666666666666664,32.00520790954706,0.0,0.0,0.0,0.0,678571.4285714286,28571.428571428572,46.66666666666667,48.05552344250693,96.0,0.0,140.0,70.0,98.99494936611666,140.0,0.0,0,0,0,0,0,1,0,0,0,60,20,21428.57142857143,7142.857142857143,0.0,64.0,31.8,32.00312484742701,1024.2,0,1,0,0,1,0,0,0,0.0,39.75,31.666666666666668,0.0,0,0,0,0,0,0,3,95,1,0,133,1024,1,20,0,0,0,0,0,0,0,0,No Label
192.168.0.53-40.126.35.151-50370-443-6,192.168.0.53,50370,40.126.35.151,443,6,20/07/2021 05:24:12,65210,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.67014261616316,65210.0,0.0,65210.0,65210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15.33507130808158,15.33507130808158,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,517,2053,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.53-104.16.19.94-59382-443-6,192.168.0.53,59382,104.16.19.94,443,6,20/07/2021 05:24:14,4108,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.85491723466413,4108.0,0.0,4108.0,4108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,243.42745861733206,243.42745861733206,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,512,66,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.53-119.207.64.155-50723-443-6,192.168.0.53,50723,119.207.64.155,443,6,20/07/2021 05:24:14,4806,2,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,6450.270495214315,832.2929671244277,1602.0,2647.1244776171748,4658.0,20.0,4678.0,4678.0,0.0,4678.0,4678.0,148.0,148.0,0.0,148.0,148.0,0,0,0,0,40,40,416.14648356221386,416.14648356221386,0.0,31.0,6.2,13.863621460498697,192.20000000000002,0,0,0,0,1,1,0,0,1.0,7.75,0.0,15.5,0,0,0,0,0,0,2,0,2,31,513,248,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.53-104.109.241.61-57314-443-6,192.168.0.53,57314,104.109.241.61,443,6,20/07/2021 05:24:14,4409,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,5443.411204354729,680.4264005443412,2204.5,3117.633798251488,4409.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,40,226.80880018144705,453.6176003628941,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,1,0,0,2.0,8.0,0.0,12.0,0,0,0,0,0,0,1,0,2,24,510,501,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.53-119.207.64.155-58072-443-6,192.168.0.53,58072,119.207.64.155,443,6,20/07/2021 05:24:14,4684,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,6618.274978650727,640.4782237403929,2342.0,3312.0881630777885,4684.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,40,213.4927412467976,426.9854824935952,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,513,248,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.53-104.74.192.17-49774-443-6,192.168.0.53,49774,104.74.192.17,443,6,20/07/2021 05:24:14,4327,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,7164.317078807488,693.321007626531,2163.5,3059.651042194191,4327.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,40,231.107002542177,462.214005084354,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,507,501,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.53-119.207.64.155-51464-443-6,192.168.0.53,51464,119.207.64.155,443,6,20/07/2021 05:24:14,4755,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,6519.453207150368,630.9148264984227,2377.5,3362.2927445420337,4755.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,40,210.30494216614093,420.60988433228187,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,1,0,2,31,513,248,0,20,0,0,0,0,0,0,0,0,No Label
