@relation 'CAN_traffic (Multi-class)-weka.filters.unsupervised.attribute.Remove-R1-2,10-weka.filters.unsupervised.attribute.Remove-R3'

@attribute Mean numeric
@attribute Var numeric
@attribute Q3 numeric
@attribute IQR numeric
@attribute Skew numeric
@attribute Kurt numeric
@attribute Class {Flooding,Fuzzy,Malfunction}

@data
27.385714,50.530228,31,11,0.285635,-0.384682,Flooding
27.323944,65.879276,37,15,0.325703,-1.365149,Flooding
27.380282,30.867606,32,11,-0.678023,-0.943156,Flooding
54.914286,125.963025,63,19.5,-0.556743,-1.068094,Flooding
27.471429,34.397723,32,10.75,-0.405131,-0.974882,Flooding
27.323944,65.879276,37,15,0.332483,-1.349413,Flooding
27.338028,30.026962,31,9.5,-0.836131,-0.881131,Flooding
27.371429,29.541201,32,11,-0.691576,-1.132975,Flooding
271,3213.2,308.25,80,-0.711249,-1.472128,Flooding
27.371429,86.700621,38,16,0.167264,-1.313207,Flooding
271,3213.2,308.25,80,-0.711249,-1.472128,Flooding
54.714286,106.621849,61.5,19,-0.871959,-1.059917,Flooding
282.333333,2218.266667,307.75,35.25,-1.238756,-0.032668,Flooding
27.371429,55.628157,36,13,0.022144,-1.153395,Flooding
137.230769,681.358974,154,48,-0.850436,-1.247362,Flooding
27.43662,29.678068,32,11,-0.690017,-1.116785,Flooding
27.422535,29.304628,32,11,-0.719531,-1.113925,Flooding
27.557143,59.380745,36,14,0.235067,-1.39225,Flooding
27.338028,65.826962,37,15,0.32387,-1.396781,Flooding
27.422535,29.161771,32,11,-0.733534,-1.107774,Flooding
27.422535,35.190342,32,10.5,-0.299519,-1.097403,Flooding
27.394366,30.270825,32,11,-0.731805,-0.907719,Flooding
27.485714,57.122981,36.75,15.5,0.267604,-1.403564,Flooding
54.8,106.517647,62,21,-0.870195,-1.108644,Flooding
54.714286,106.092437,61.5,19,-0.888747,-1.055243,Flooding
30.809524,8.834101,31,1,-0.627005,18.729607,Flooding
30.888889,34.90681,36,11,-0.023611,-1.658243,Flooding
30.774194,3.620307,32,3,-0.219981,-0.740345,Flooding
61.548387,1.922581,63,3,0.394021,-1.209645,Flooding
30.873016,9.983615,33,5,0.114386,-0.310444,Flooding
30.84127,4.135689,32,3,0.159199,0.192269,Flooding
30.777778,7.498208,32,3,-0.501548,6.191391,Flooding
61.451613,6.255914,63,3,-0.201671,0.2945,Flooding
307.833333,8.966667,310,4.5,0.468729,-1.412501,Flooding
30.888889,60.100358,39,17,-0.001076,-1.775706,Flooding
307.833333,6.566667,310,3.75,0.435439,-1.453735,Flooding
61.419355,6.384946,63,3,-0.181178,0.179045,Flooding
308.2,69.2,315,15,0.074231,-1.668447,Flooding
30.84127,29.393753,36,11,-0.017745,-1.636537,Flooding
154,0.727273,154,0.25,0.918559,0.75,Flooding
30.774194,7.554733,32,3,-0.535742,6.263519,Flooding
30.774194,5.128503,32.75,3.75,-0.332084,0.198795,Flooding
30.873016,32.370712,36,11,-0.019007,-1.763136,Flooding
30.888889,37.035842,37,12,-0.034012,-1.61224,Flooding
30.774194,3.948176,32,3,-0.341578,-1.050625,Flooding
30.774194,13.390799,32.75,4.75,0.040493,-0.135919,Flooding
30.790323,4.463511,32,3,0.089104,-0.827462,Flooding
30.809524,22.511521,34,6.5,-0.036535,-0.814709,Flooding
61.580645,1.984946,63,3,0.341707,-1.316991,Flooding
30.873016,34.273938,36,11,-0.032764,-1.691785,Flooding
31.344262,6.529508,32,2,-0.588312,11.736858,Flooding
31.442623,17.784153,35,8,0.026174,-1.340061,Flooding
31.387097,3.585405,32,2,0.030231,-0.575231,Flooding
62.766667,7.909195,65,4,-0.362753,0.210051,Flooding
31.42623,12.981967,34,6,-0.069957,-0.675584,Flooding
31.42623,5.815301,33,4,0.252992,-0.533964,Flooding
31.311475,5.118033,33,3,0.03514,-0.658626,Flooding
62.766667,5.150575,64,3,0.509882,-0.874453,Flooding
313.4,89.3,318,11,0.802562,-1.004649,Flooding
31.442623,22.684153,35,9,-0.028556,-1.628437,Flooding
313.6,86.3,318,11,0.809043,-0.979601,Flooding
62.766667,5.150575,64,3,0.509882,-0.874453,Flooding
312.833333,72.566667,315.75,8.5,1.084674,-0.415708,Flooding
31.393443,6.775956,33,4,0.070898,-0.491996,Flooding
157,53.272727,162.5,9.5,0.795601,0.033442,Flooding
31.435484,6.053146,32.75,2.75,0.454428,0.023759,Flooding
31.419355,5.821259,32.75,3.75,0.410317,-0.065303,Flooding
31.42623,16.748634,35,8,0.097651,-1.334558,Flooding
31.419355,5.722898,33,3.75,0.328648,-0.093505,Flooding
31.459016,19.452459,35,8,-0.060157,-1.381954,Flooding
31.435484,12.315442,34,5,-0.245345,-0.386746,Flooding
31.33871,4.09651,33,3,-0.205965,-0.990212,Flooding
31.344262,25.962842,35,7,-0.117419,-0.713155,Flooding
62.766667,5.357471,64,3,0.305845,-1.146859,Flooding
31.442623,17.05082,35,8,-0.014026,-1.326008,Flooding
32.566667,2.317514,33.25,2.25,-0.287601,-0.429612,Flooding
32.677966,12.980713,36,7,0.074487,-1.552772,Flooding
