gTLD,ccTLD_Grouping,OS_Grouping,Encoding
biz,EasternEurope,Linux,WestEurope
biz,EasternEurope,Unix,CentralEurope
biz,EasternEurope,Unix,WestEurope
biz,WesternEurope,Linux,WestEurope
com,Africa,Linux,Arabic
com,Africa,Linux,Arabic
com,Africa,Linux,Arabic
com,Africa,Linux,Arabic
com,Africa,Linux,CentralEurope
com,Africa,Linux,CentralEurope
com,Africa,Linux,Chinese
com,Africa,Linux,Turkish
com,Africa,Linux,Turkish
com,Africa,Linux,Turkish
com,Africa,Linux,Turkish
com,Africa,Linux,Turkish
com,Africa,Linux,Turkish
com,Africa,Linux,Turkish
com,Africa,Linux,Turkish
com,Africa,Linux,Turkish
com,Africa,Linux,Turkish
com,Africa,Linux,Turkish
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
com,Africa,Linux,WestEurope
