gTLD,ccTLD_Grouping,OS_Grouping,Encoding
com,Africa,Linux,Arabic
com,Africa,Linux,Arabic
com,Africa,Linux,Arabic
com,Africa,Linux,Arabic
com,Australia,Linux,Arabic
com,Australia,Linux,Arabic
com,Australia,Linux,Arabic
com,Australia,Linux,Arabic
com,Australia,Window,Arabic
com,Australia,Window,Arabic
com,Australia,Window,Arabic
com,Australia,Window,Arabic
com,Australia,Window,Arabic
com,Australia,Window,Arabic
gov,Australia,Window,Arabic
gov,Australia,Window,Arabic
gov,Australia,Window,Arabic
,Australia,Linux,Arabic
,Australia,Linux,Arabic
,Australia,Linux,Arabic
,Australia,Linux,Arabic
,Australia,Unix,Arabic
,Australia,Window,Arabic
com,EastAsia,Linux,Arabic
com,EastAsia,Window,Arabic
com,EastAsia,Window,Arabic
com,EastAsia,Window,Arabic
com,EastAsia,Window,Arabic
com,EastAsia,Window,Arabic
com,EastAsia,Window,Arabic
com,EastAsia,Window,Arabic
gov,EastAsia,Window,Arabic
gov,EastAsia,Window,Arabic
,EastAsia,Linux,Arabic
,EastAsia,Linux,Arabic
,EastAsia,Linux,Arabic
,EastAsia,Window,Arabic
com,EasternEurope,Linux,Arabic
com,EasternEurope,Unix,Arabic
com,EasternEurope,Unix,Arabic
com,EasternEurope,Unix,Arabic
com,EasternEurope,Unix,Arabic
com,EasternEurope,Window,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Linux,Arabic
,EasternEurope,Unix,Arabic
,EasternEurope,Unix,Arabic
,EasternEurope,Unix,Arabic
,EasternEurope,Unix,Arabic
,EasternEurope,Unix,Arabic
,EasternEurope,Unix,Arabic
,EasternEurope,Unix,Arabic
